"gene","vglut2_clusters","galr1"
"Bmpr2",0.5203252032520326,0.7777777777777778
"Fam117b",0.35772357723577236,0.6666666666666666
"Ica1l",0.30691056910569103,0.6666666666666666
"Wdr12",0.17276422764227642,0.6666666666666666
"Carf",0.1951219512195122,0.3333333333333333
"Nbeal1",0.5101626016260162,0.7777777777777778
"Cyp20a1",0.11382113821138211,0.1111111111111111
"Abi2",0.49390243902439024,0.7777777777777778
"Raph1",0.5752032520325203,0.7777777777777778
"Ctla4",0.012195121951219513,0
"9530026F06Rik",0.006097560975609756,0
"Gm11588",0,0
"Pard3b",0.3252032520325203,0.5555555555555556
"Pard3bos1",0.15853658536585366,0.1111111111111111
"Pard3bos3",0.03861788617886179,0
"Nrp2",0.2073170731707317,0.3333333333333333
"Gm29083",0,0
"Ino80d",0.3556910569105691,0.7777777777777778
"Ino80dos",0.26422764227642276,0.4444444444444444
"Gm20342",0.11991869918699187,0.2222222222222222
"Ndufs1",0.35365853658536583,0.4444444444444444
"Eef1b2",0.07723577235772358,0.1111111111111111
"Gpr1",0.026422764227642278,0.1111111111111111
"Gm11608",0.0020325203252032522,0
"Zdbf2",0.2459349593495935,0.3333333333333333
"Adam23",0.6077235772357723,0.8888888888888888
"Gm39653",0.01016260162601626,0
"Dytn",0.0040650406504065045,0
"Mdh1b",0.008130081300813009,0
"Fastkd2",0.07723577235772358,0.3333333333333333
"4933402D24Rik",0.018292682926829267,0.1111111111111111
"Klf7",0.5975609756097561,0.8888888888888888
"Gm13748",0.08333333333333333,0.1111111111111111
"Gm28981",0.034552845528455285,0
"Creb1",0.3861788617886179,0.7777777777777778
"Mettl21a",0.018292682926829267,0
"2810408I11Rik",0.0020325203252032522,0
"Ccnyl1",0.08943089430894309,0.1111111111111111
"Fzd5",0.0020325203252032522,0
"Plekhm3",0.3252032520325203,0.4444444444444444
"D630023F18Rik",0.056910569105691054,0
"Idh1",0.18495934959349594,0.4444444444444444
"Pikfyve",0.2886178861788618,0.3333333333333333
"Pth2r",0.25203252032520324,0.4444444444444444
"Map2",0.8699186991869918,1
"Gm10558",0.0975609756097561,0.2222222222222222
"Unc80",0.6544715447154471,0.7777777777777778
"Rpe",0.09552845528455285,0.1111111111111111
"Kansl1l",0.5691056910569106,0.6666666666666666
"Acadl",0.046747967479674794,0.1111111111111111
"Myl1",0.0020325203252032522,0
"Lancl1",0.23780487804878048,0.4444444444444444
"Gm15668",0.014227642276422764,0
"Erbb4",0.7012195121951219,1
"Gm29114",0.0975609756097561,0.1111111111111111
"Ikzf2",0.20528455284552846,0.3333333333333333
"Gm28112",0.01016260162601626,0.1111111111111111
"Spag16",0.10365853658536585,0
"Vwc2l",0.27439024390243905,0.5555555555555556
"Bard1",0.034552845528455285,0
"Abca12",0.01016260162601626,0.1111111111111111
"Atic",0.07926829268292683,0.2222222222222222
"Fn1",0.018292682926829267,0
"Apol7d",0.0020325203252032522,0
"Mreg",0.0508130081300813,0.1111111111111111
"Pecr",0.06097560975609756,0.3333333333333333
"Tmem169",0.18699186991869918,0.2222222222222222
"Xrcc5",0.11382113821138211,0.2222222222222222
"March4",0.3719512195121951,0.6666666666666666
"Smarcal1",0.15040650406504066,0.4444444444444444
"Ankar",0.014227642276422764,0.1111111111111111
"Rpl37a",0.20934959349593496,0.5555555555555556
"Igfbp2",0.09552845528455285,0.1111111111111111
"Igfbp5",0.14634146341463414,0.4444444444444444
"1700027A15Rik",0.008130081300813009,0
"Gm29185",0.01016260162601626,0
"6030407O03Rik",0.028455284552845527,0
"Tns1",0.12601626016260162,0.1111111111111111
"Arpc2",0.3333333333333333,0.4444444444444444
"Aamp",0.1443089430894309,0.2222222222222222
"Pnkd",0.32113821138211385,0.5555555555555556
"Tmbim1",0.17886178861788618,0.3333333333333333
"Gm29358",0.026422764227642278,0
"Catip",0.0040650406504065045,0
"Slc11a1",0.012195121951219513,0
"Ctdsp1",0.024390243902439025,0.1111111111111111
"Vil1",0.036585365853658534,0
"Usp37",0.4573170731707317,0.6666666666666666
"Cnot9",0.1483739837398374,0.2222222222222222
"Plcd4",0.12195121951219512,0.1111111111111111
"Zfp142",0.09959349593495935,0.3333333333333333
"Bcs1l",0.18089430894308944,0.3333333333333333
"Rnf25",0.24796747967479674,0.4444444444444444
"Stk36",0.08333333333333333,0.2222222222222222
"Ttll4",0.2032520325203252,0.2222222222222222
"Cyp27a1",0.016260162601626018,0
"Wnt6",0.0020325203252032522,0
"Gm29539",0,0
"Gm16582",0.016260162601626018,0
"Cdk5r2",0.0508130081300813,0.2222222222222222
"Cfap65",0.018292682926829267,0
"Gm15841",0,0
"Ihh",0,0
"Nhej1",0.026422764227642278,0
"Cnppd1",0.08739837398373984,0.1111111111111111
"Retreg2",0.0975609756097561,0.3333333333333333
"Zfand2b",0.11991869918699187,0.3333333333333333
"Abcb6",0.052845528455284556,0.1111111111111111
"Atg9a",0.1402439024390244,0.2222222222222222
"Ankzf1",0.09349593495934959,0.2222222222222222
"Glb1l",0.08739837398373984,0.1111111111111111
"Stk16",0.11382113821138211,0.2222222222222222
"Tuba4a",0.08536585365853659,0.3333333333333333
"A630095N17Rik",0.012195121951219513,0
"Dnajb2",0.2459349593495935,0.1111111111111111
"Ptprn",0.6443089430894309,0.7777777777777778
"Gm28294",0.07113821138211382,0.1111111111111111
"Resp18",0.15447154471544716,0.3333333333333333
"Dnpep",0.07723577235772358,0.1111111111111111
"Des",0,0
"Speg",0.2865853658536585,0.5555555555555556
"Gm15178",0.016260162601626018,0
"Gmppa",0.07520325203252033,0.1111111111111111
"Asic4",0.034552845528455285,0
"Chpf",0.022357723577235773,0.1111111111111111
"Obsl1",0.09959349593495935,0.2222222222222222
"Tmem198",0.034552845528455285,0
"Inha",0.1483739837398374,0.3333333333333333
"Stk11ip",0.0508130081300813,0
"Slc4a3",0.5833333333333334,0.8888888888888888
"Gm816",0.0040650406504065045,0
"Epha4",0.4715447154471545,0.6666666666666666
"Pax3",0.08943089430894309,0.1111111111111111
"Sgpp2",0.20934959349593496,0.3333333333333333
"Gm28410",0.07520325203252033,0.1111111111111111
"Farsb",0.2967479674796748,0.3333333333333333
"BC035947",0.016260162601626018,0
"Mogat1",0.006097560975609756,0
"5730419F03Rik",0,0
